token,,,,
group,1732,,,
org,org,org,driver,driver
ACC,Atlantic Division,Boston College,Boston College Football,Boston College Basketball
ACC,Atlantic Division,Clemson,Clemson Football,Clemson Basketball
ACC,Atlantic Division,Florida State,Florida State Football,Florida State Basketball
ACC,Atlantic Division,Louisville,Louisville Football,Louisville Basketball
ACC,Atlantic Division,NC State,NC State Football,NC State Basketball
ACC,Atlantic Division,Syracuse,Syracuse Football,Syracuse Basketball
ACC,Atlantic Division,Wake Forest,Wake Forest Football,Wake Forest Basketball
ACC,Coastal Division,Duke,Duke Football,Duke Basketball
ACC,Coastal Division,Georgia Tech,Georgia Tech Football,Georgia Tech Basketball
ACC,Coastal Division,Miami,Miami Football,Miami Basketball
ACC,Coastal Division,UNC,UNC Football,UNC Basketball
ACC,Coastal Division,Pitt,Pitt Football,Pitt Basketball
ACC,Coastal Division,Virginia,Virginia Football,Virginia Basketball
ACC,Coastal Division,Virginia Tech,Virginia Tech Football,Virginia Tech Basketball
SEC,East Division,Florida,Florida Football,Florida Basketball
SEC,East Division,Georgia,Georgia Football,Georgia Basketball
SEC,East Division,Kentucky,Kentucky Football,Kentucky Basketball
SEC,East Division,Missouri,Missouri Football,Missouri Basketball
SEC,East Division,South Carolina,South Carolina Football,South Carolina Basketball
SEC,East Division,Tennessee,Tennessee Football,Tennessee Basketball
SEC,East Division,Vanderbilt,Vanderbilt Football,Vanderbilt Basketball
SEC,West Division,Alabama,Alabama Football,Alabama Basketball
SEC,West Division,Arkansas,Arkansas Football,Arkansas Basketball
SEC,West Division,Auburn,Auburn Football,Auburn Basketball
SEC,West Division,LSU,LSU Football,LSU Basketball
SEC,West Division,Ole Miss,Ole Miss Football,Ole Miss Basketball
SEC,West Division,Mississippi State,Mississippi State Football,Mississippi State Basketball
SEC,West Division,Texas A&M,Texas A&M Football,Texas A&M Basketball